2024-10-05 22:34:18.936 [info] Started local extension host with pid 6596.
2024-10-05 22:34:24.234 [info] [perf] Render performance baseline is 40ms
2024-10-05 23:24:23.926 [error] [network] #11: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:24:23.927 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:29:23.932 [error] [network] #12: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:29:23.965 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:34:23.971 [error] [network] #13: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:34:23.971 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:39:23.976 [error] [network] #14: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:39:24.009 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:44:24.014 [error] [network] #15: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:44:24.048 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:49:24.053 [error] [network] #16: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:49:24.088 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:54:24.092 [error] [network] #17: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:54:24.125 [warning] Failed to fetch chat participant registry Offline
2024-10-05 23:59:24.131 [error] [network] #18: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-05 23:59:24.163 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:04:24.173 [error] [network] #19: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:04:24.208 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:09:24.213 [error] [network] #20: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:09:24.246 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:14:24.251 [error] [network] #21: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:14:24.284 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:19:24.289 [error] [network] #22: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:19:24.323 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:24:24.328 [error] [network] #23: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:24:24.362 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:29:24.369 [error] [network] #24: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:29:24.403 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:34:24.408 [error] [network] #25: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:34:24.441 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:39:24.447 [error] [network] #26: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:39:24.480 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:44:24.485 [error] [network] #27: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:44:24.518 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:49:24.523 [error] [network] #28: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:49:24.555 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:54:24.568 [error] [network] #29: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:54:24.601 [warning] Failed to fetch chat participant registry Offline
2024-10-06 00:59:24.606 [error] [network] #30: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 00:59:24.638 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:04:24.644 [error] [network] #31: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:04:24.677 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:09:24.682 [error] [network] #32: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:09:24.715 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:14:24.720 [error] [network] #33: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:14:24.752 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:19:24.758 [error] [network] #34: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:19:24.791 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:24:24.796 [error] [network] #35: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:24:24.829 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:29:24.834 [error] [network] #36: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:29:24.867 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:34:24.872 [error] [network] #37: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:34:24.905 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:39:24.910 [error] [network] #38: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:39:24.943 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:44:24.948 [error] [network] #39: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:44:24.993 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:49:24.997 [error] [network] #40: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:49:25.030 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:54:25.035 [error] [network] #41: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:54:25.071 [warning] Failed to fetch chat participant registry Offline
2024-10-06 01:59:25.077 [error] [network] #42: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 01:59:25.111 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:04:25.117 [error] [network] #43: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:04:25.149 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:09:25.155 [error] [network] #44: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:09:25.187 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:14:25.192 [error] [network] #45: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:14:25.225 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:19:25.230 [error] [network] #46: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:19:25.263 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:24:25.268 [error] [network] #47: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:24:25.301 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:29:25.306 [error] [network] #48: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:29:25.339 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:34:25.349 [error] [network] #49: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:34:25.395 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:39:25.401 [error] [network] #50: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:39:25.433 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:44:25.439 [error] [network] #51: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:44:25.472 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:49:25.477 [error] [network] #52: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:49:25.510 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:54:25.515 [error] [network] #53: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:54:25.548 [warning] Failed to fetch chat participant registry Offline
2024-10-06 02:59:25.554 [error] [network] #54: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 02:59:25.587 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:04:25.592 [error] [network] #55: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:04:25.625 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:09:25.631 [error] [network] #56: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:09:25.664 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:14:25.669 [error] [network] #57: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:14:25.702 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:19:25.707 [error] [network] #58: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:19:25.740 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:24:25.752 [error] [network] #59: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:24:25.787 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:29:25.793 [error] [network] #60: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:29:25.827 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:34:25.832 [error] [network] #61: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:34:25.865 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:39:25.870 [error] [network] #62: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:39:25.903 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:44:25.908 [error] [network] #63: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:44:25.941 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:49:25.946 [error] [network] #64: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:49:25.979 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:54:25.984 [error] [network] #65: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:54:26.017 [warning] Failed to fetch chat participant registry Offline
2024-10-06 03:59:26.022 [error] [network] #66: https://az764295.vo.msecnd.net/extensions/chat.json - error GET Offline
2024-10-06 03:59:26.055 [warning] Failed to fetch chat participant registry Offline
